trip_type_id,trip_type_name,description,assigned_by
1,Street-hail,Passenger hailed the taxi directly on the street,Automatically assigned based on metered rate — can be altered by driver
2,Dispatch,Trip dispatched through a base or app,Automatically assigned based on metered rate — can be altered by driver
